Age,Attrition,BusinessTravel,DailyRate,dept_id,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over_time,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
46,0,Non-Travel,1144,2,7,4,Medical,487,3,Female,30,3,2,Manufacturing Director,3,Married,5258,2,0,14,3,3,0,7,2,4,1,0,0,0
41,1,Travel_Frequently,143,1,4,3,Marketing,488,1,Male,56,3,2,Sales Executive,2,Single,9355,1,0,18,3,3,0,8,5,3,8,7,7,7
50,0,Travel_Rarely,1046,2,10,3,Technical Degree,491,4,Male,100,2,3,Healthcare Representative,4,Single,10496,6,0,15,3,4,0,20,2,3,4,3,1,3
40,1,Travel_Rarely,575,1,22,2,Marketing,492,3,Male,68,2,2,Sales Executive,3,Married,6380,2,1,12,3,1,2,8,6,3,6,4,1,0
31,0,Travel_Rarely,408,2,9,4,Life Sciences,493,3,Male,42,2,1,Research Scientist,2,Single,2657,0,1,16,3,4,0,3,5,3,2,2,2,2
21,1,Travel_Rarely,156,1,12,3,Life Sciences,494,3,Female,90,4,1,Sales Representative,2,Single,2716,1,0,15,3,4,0,1,0,3,1,0,0,0
29,0,Travel_Rarely,1283,2,23,3,Life Sciences,495,4,Male,54,3,1,Research Scientist,4,Single,2201,9,0,16,3,4,0,6,4,3,3,2,1,2
35,0,Travel_Rarely,755,2,9,4,Life Sciences,496,3,Male,97,2,2,Healthcare Representative,2,Single,6540,9,0,19,3,3,0,10,5,3,1,1,0,0
27,0,Travel_Rarely,1469,2,1,2,Medical,497,4,Male,82,3,1,Laboratory Technician,2,Divorced,3816,1,0,11,3,2,1,5,2,3,5,2,0,4
28,0,Travel_Rarely,304,1,9,4,Life Sciences,498,2,Male,92,3,2,Sales Executive,4,Single,5253,1,0,16,3,4,0,7,1,3,7,5,0,7
49,0,Travel_Rarely,1261,2,7,3,Other,499,2,Male,31,2,3,Healthcare Representative,3,Single,10965,8,0,24,4,3,0,26,2,3,5,2,0,0
51,0,Travel_Rarely,1178,1,14,2,Life Sciences,500,3,Female,87,3,2,Sales Executive,4,Married,4936,4,0,11,3,3,1,18,2,2,7,7,0,7
36,0,Travel_Rarely,329,2,2,3,Life Sciences,501,4,Female,96,3,1,Research Scientist,3,Married,2543,4,0,13,3,2,1,6,3,3,2,2,2,2
34,1,Non-Travel,1362,1,19,3,Marketing,502,1,Male,67,4,2,Sales Executive,4,Single,5304,8,1,13,3,2,0,9,3,2,5,2,0,4
55,0,Travel_Rarely,1311,2,2,3,Life Sciences,505,3,Female,97,3,4,Manager,4,Single,16659,2,1,13,3,3,0,30,2,3,5,4,1,2
24,0,Travel_Rarely,1371,1,10,4,Marketing,507,4,Female,77,3,2,Sales Executive,3,Divorced,4260,1,1,12,3,4,1,5,2,4,5,2,0,3
30,0,Travel_Rarely,202,1,2,1,Technical Degree,508,3,Male,72,3,1,Sales Representative,2,Married,2476,1,0,18,3,1,1,1,3,3,1,0,0,0
26,1,Travel_Frequently,575,2,3,1,Technical Degree,510,3,Male,73,3,1,Research Scientist,1,Single,3102,0,0,22,4,3,0,7,2,3,6,4,0,4
22,0,Travel_Rarely,253,2,11,3,Medical,511,1,Female,43,3,1,Research Scientist,2,Married,2244,1,0,13,3,4,1,2,1,3,2,1,1,2
36,0,Travel_Rarely,164,1,2,2,Medical,513,2,Male,61,2,3,Sales Executive,3,Married,7596,1,0,13,3,2,2,10,2,3,10,9,9,0
30,1,Travel_Frequently,464,2,4,3,Technical Degree,514,3,Male,40,3,1,Research Scientist,4,Single,2285,9,1,23,4,3,0,3,4,3,1,0,0,0
37,0,Travel_Rarely,1107,2,14,3,Life Sciences,515,4,Female,95,3,1,Laboratory Technician,1,Divorced,3034,1,0,12,3,3,1,18,2,2,18,7,12,17
40,0,Travel_Rarely,759,1,2,2,Marketing,516,4,Female,46,3,2,Sales Executive,2,Divorced,5715,7,0,12,3,3,2,8,5,3,5,4,1,3
42,0,Travel_Rarely,201,2,1,4,Life Sciences,517,2,Female,95,3,1,Laboratory Technician,1,Divorced,2576,3,0,16,3,2,1,8,5,3,5,2,1,2
37,0,Travel_Rarely,1305,2,10,4,Life Sciences,518,3,Male,49,3,2,Manufacturing Director,2,Single,4197,2,1,12,3,4,0,18,2,2,1,0,0,1
43,0,Travel_Rarely,982,2,12,3,Life Sciences,520,1,Male,59,2,4,Research Director,2,Divorced,14336,1,0,11,3,3,1,25,3,3,25,10,3,9
40,0,Travel_Rarely,555,2,2,3,Medical,521,2,Female,78,2,2,Laboratory Technician,3,Married,3448,6,0,22,4,2,1,20,3,3,1,0,0,0
54,0,Travel_Rarely,821,2,5,2,Medical,522,1,Male,86,3,5,Research Director,1,Married,19406,4,0,11,3,3,1,24,4,2,4,2,1,2
34,0,Non-Travel,1381,1,4,4,Marketing,523,3,Female,72,3,2,Sales Executive,3,Married,6538,9,0,15,3,1,1,6,3,3,3,2,1,2
31,0,Travel_Rarely,480,2,7,2,Medical,524,2,Female,31,3,2,Manufacturing Director,1,Married,4306,1,0,12,3,2,1,13,5,1,13,10,3,12
43,0,Travel_Frequently,313,2,21,3,Medical,525,4,Male,61,3,1,Laboratory Technician,4,Married,2258,7,0,20,4,1,1,8,1,3,3,2,1,2
43,0,Travel_Rarely,1473,2,8,4,Other,526,3,Female,74,3,2,Healthcare Representative,3,Divorced,4522,4,1,14,3,4,0,8,3,3,5,2,0,2
25,0,Travel_Rarely,891,1,4,2,Life Sciences,527,2,Female,99,2,2,Sales Executive,4,Single,4487,1,1,11,3,2,0,5,3,3,5,4,1,3
37,0,Non-Travel,1063,2,25,5,Medical,529,2,Female,72,3,2,Research Scientist,3,Married,4449,3,1,15,3,1,2,15,2,3,13,11,10,7
31,0,Travel_Rarely,329,2,1,2,Life Sciences,530,4,Male,98,2,1,Laboratory Technician,1,Married,2218,1,0,12,3,3,1,4,3,3,4,2,3,2
39,0,Travel_Frequently,1218,2,1,1,Life Sciences,531,2,Male,52,3,5,Manager,3,Divorced,19197,1,1,14,3,3,1,21,3,3,21,8,1,6
56,0,Travel_Frequently,906,1,6,3,Life Sciences,532,3,Female,86,4,4,Sales Executive,1,Married,13212,9,0,11,3,4,3,36,0,2,7,7,7,7
30,0,Travel_Rarely,1082,1,12,3,Technical Degree,533,2,Female,83,3,2,Sales Executive,3,Single,6577,0,0,11,3,2,0,6,6,3,5,4,4,4
41,0,Travel_Rarely,645,1,1,3,Marketing,534,2,Male,49,4,3,Sales Executive,1,Married,8392,1,0,16,3,3,1,10,2,3,10,7,0,7
28,0,Travel_Rarely,1300,2,17,2,Medical,536,3,Male,79,3,2,Laboratory Technician,1,Divorced,4558,1,0,12,3,4,1,10,2,3,10,0,1,8
25,1,Travel_Rarely,688,2,3,3,Medical,538,1,Male,91,3,1,Laboratory Technician,1,Married,4031,5,0,13,3,3,1,6,5,3,2,2,0,2
52,0,Travel_Rarely,319,2,3,3,Medical,543,4,Male,39,2,3,Manufacturing Director,3,Married,7969,2,1,14,3,3,0,28,4,3,5,4,0,4
45,0,Travel_Rarely,192,2,10,2,Life Sciences,544,1,Male,69,3,1,Research Scientist,4,Married,2654,3,0,21,4,4,2,8,3,2,2,2,0,2
52,0,Travel_Rarely,1490,2,4,2,Life Sciences,546,4,Female,30,3,4,Manager,4,Married,16555,2,0,13,3,4,0,31,2,1,5,2,1,4
42,0,Travel_Frequently,532,2,29,2,Life Sciences,547,1,Female,92,3,2,Research Scientist,3,Divorced,4556,2,0,11,3,2,1,19,3,3,5,4,0,2
30,0,Travel_Rarely,317,2,2,3,Life Sciences,548,3,Female,43,1,2,Manufacturing Director,4,Single,6091,2,0,20,4,3,0,11,2,3,5,4,0,2
60,0,Travel_Rarely,422,2,7,3,Life Sciences,549,1,Female,41,3,5,Manager,1,Married,19566,5,0,11,3,4,0,33,5,1,29,8,11,10
46,0,Travel_Rarely,1485,2,18,3,Medical,550,3,Female,87,3,2,Manufacturing Director,3,Divorced,4810,2,0,14,3,3,1,19,5,2,10,7,0,8
42,0,Travel_Frequently,1368,2,28,4,Technical Degree,551,4,Female,88,2,2,Healthcare Representative,4,Married,4523,0,0,11,3,4,3,7,4,4,6,5,0,4
24,1,Travel_Rarely,1448,1,1,1,Technical Degree,554,1,Female,62,3,1,Sales Representative,2,Single,3202,1,1,16,3,2,0,6,4,3,5,3,1,4
34,1,Travel_Frequently,296,1,6,2,Marketing,555,4,Female,33,1,1,Sales Representative,3,Divorced,2351,0,0,16,3,4,1,3,3,2,2,2,1,0
38,0,Travel_Frequently,1490,2,2,2,Life Sciences,556,4,Male,42,3,1,Laboratory Technician,4,Married,1702,1,1,23,4,3,1,1,3,3,1,0,0,0
40,0,Travel_Rarely,1398,1,2,4,Life Sciences,558,3,Female,79,3,5,Manager,3,Married,18041,0,0,14,3,4,0,21,2,3,20,15,1,12
26,0,Travel_Rarely,1349,2,23,3,Life Sciences,560,1,Female,90,3,1,Research Scientist,4,Divorced,2886,1,0,22,4,2,2,3,3,1,3,2,0,2
30,0,Non-Travel,1400,2,3,3,Life Sciences,562,3,Male,53,3,1,Laboratory Technician,4,Married,2097,4,0,15,3,3,1,9,3,1,5,3,1,4
29,0,Travel_Rarely,986,2,3,4,Medical,564,2,Male,93,2,3,Research Director,3,Married,11935,1,0,18,3,3,0,10,2,3,10,2,0,7
29,1,Travel_Rarely,408,2,25,5,Technical Degree,565,3,Female,71,2,1,Research Scientist,2,Married,2546,5,0,16,3,2,0,6,2,4,2,2,1,1
19,1,Travel_Rarely,489,3,2,2,Technical Degree,566,1,Male,52,2,1,Human Resources,4,Single,2564,1,0,12,3,3,0,1,3,4,1,0,0,0
30,0,Non-Travel,1398,1,22,4,Other,567,3,Female,69,3,3,Sales Executive,1,Married,8412,0,0,11,3,3,0,10,3,3,9,8,7,8
57,0,Travel_Rarely,210,1,29,3,Marketing,568,1,Male,56,2,4,Manager,4,Divorced,14118,3,0,12,3,3,1,32,3,2,1,0,0,0
50,0,Travel_Rarely,1099,2,29,4,Life Sciences,569,2,Male,88,2,4,Manager,3,Married,17046,0,0,15,3,2,1,28,2,3,27,10,15,7
30,0,Non-Travel,1116,2,2,3,Medical,571,3,Female,49,3,1,Laboratory Technician,4,Single,2564,0,0,14,3,3,0,12,2,2,11,7,6,7
60,0,Travel_Frequently,1499,1,28,3,Marketing,573,3,Female,80,2,3,Sales Executive,1,Married,10266,4,0,19,3,4,0,22,5,4,18,13,13,11
47,0,Travel_Rarely,983,2,2,2,Medical,574,1,Female,65,3,2,Manufacturing Director,4,Divorced,5070,5,0,13,3,3,3,20,2,3,5,0,0,4
46,0,Travel_Rarely,1009,2,2,3,Life Sciences,575,1,Male,51,3,4,Research Director,3,Married,17861,6,0,13,3,3,0,26,2,1,3,2,0,1
35,0,Travel_Rarely,144,2,22,3,Life Sciences,577,4,Male,46,1,1,Laboratory Technician,3,Single,4230,0,0,15,3,3,0,6,2,3,5,4,4,3
54,0,Travel_Rarely,548,2,8,4,Life Sciences,578,3,Female,42,3,2,Laboratory Technician,3,Single,3780,7,0,11,3,3,0,19,3,3,1,0,0,0
34,0,Travel_Rarely,1303,2,2,4,Life Sciences,579,4,Male,62,2,1,Research Scientist,3,Divorced,2768,3,0,12,3,3,1,14,3,3,7,3,5,7
46,0,Travel_Rarely,1125,1,10,3,Marketing,580,3,Female,94,2,3,Sales Executive,4,Married,9071,2,1,19,3,3,1,15,3,3,3,2,1,2
31,0,Travel_Rarely,1274,2,9,1,Life Sciences,581,3,Male,33,3,3,Manufacturing Director,2,Divorced,10648,1,0,25,4,4,1,13,6,4,13,8,0,8
33,1,Travel_Rarely,1277,2,15,1,Medical,582,2,Male,56,3,3,Manager,3,Married,13610,7,1,12,3,4,0,15,2,4,7,6,7,7
33,1,Travel_Rarely,587,2,10,1,Medical,584,1,Male,38,1,1,Laboratory Technician,4,Divorced,3408,7,0,13,3,1,3,8,2,3,4,3,1,3
30,0,Travel_Rarely,413,1,7,1,Marketing,585,4,Male,57,3,1,Sales Representative,2,Single,2983,0,0,14,3,1,0,4,3,3,3,2,1,2
35,0,Travel_Rarely,1276,2,16,3,Life Sciences,586,4,Male,72,3,3,Healthcare Representative,3,Married,7632,4,1,12,3,3,0,10,2,3,8,7,0,0
31,1,Travel_Frequently,534,2,20,3,Life Sciences,587,1,Male,66,3,3,Healthcare Representative,3,Married,9824,3,0,12,3,1,0,12,2,3,1,0,0,0
34,1,Travel_Frequently,988,3,23,3,Human Resources,590,2,Female,43,3,3,Human Resources,1,Divorced,9950,9,1,15,3,3,3,11,2,3,3,2,0,2
42,0,Travel_Frequently,1474,2,5,2,Other,591,2,Male,97,3,1,Laboratory Technician,3,Married,2093,4,0,17,3,4,1,8,4,3,2,2,2,0
36,0,Non-Travel,635,1,10,4,Medical,592,2,Male,32,3,3,Sales Executive,4,Single,9980,1,0,14,3,4,0,10,3,2,10,3,9,7
22,1,Travel_Frequently,1368,2,4,1,Technical Degree,593,3,Male,99,2,1,Laboratory Technician,3,Single,3894,5,0,16,3,3,0,4,3,3,2,2,1,2
48,0,Travel_Rarely,163,1,2,5,Marketing,595,2,Female,37,3,2,Sales Executive,4,Married,4051,2,0,14,3,1,1,14,2,3,9,7,6,7
55,0,Travel_Rarely,1117,1,18,5,Life Sciences,597,1,Female,83,3,4,Manager,2,Single,16835,3,0,23,4,4,0,37,2,3,10,9,7,7
41,0,Non-Travel,267,1,10,2,Life Sciences,599,4,Male,56,3,2,Sales Executive,4,Single,6230,7,0,14,3,4,0,16,3,3,14,3,1,10
35,0,Travel_Rarely,619,1,1,3,Marketing,600,2,Male,85,3,2,Sales Executive,3,Married,4717,9,0,11,3,3,0,15,2,3,11,9,6,9
40,0,Travel_Rarely,302,2,6,3,Life Sciences,601,2,Female,75,3,4,Manufacturing Director,3,Single,13237,7,0,15,3,3,0,22,3,3,20,6,5,13
39,0,Travel_Frequently,443,2,8,1,Life Sciences,602,3,Female,48,3,1,Laboratory Technician,3,Married,3755,1,0,11,3,1,1,8,3,3,8,3,0,7
31,0,Travel_Rarely,828,1,2,1,Life Sciences,604,2,Male,77,3,2,Sales Executive,4,Single,6582,4,1,13,3,3,0,10,2,4,6,5,0,5
42,0,Travel_Rarely,319,2,24,3,Medical,605,4,Male,56,3,3,Manufacturing Director,1,Married,7406,1,1,21,4,4,1,10,5,2,10,9,5,8
45,0,Travel_Rarely,561,1,2,3,Other,606,4,Male,61,3,2,Sales Executive,2,Married,4805,0,0,19,3,2,1,9,3,4,8,7,3,7
26,1,Travel_Frequently,426,3,17,4,Life Sciences,608,2,Female,58,3,1,Human Resources,3,Divorced,2741,0,1,11,3,2,1,8,2,2,7,7,1,0
29,0,Travel_Rarely,232,2,19,3,Technical Degree,611,4,Male,34,3,2,Manufacturing Director,4,Divorced,4262,4,0,12,3,2,2,8,2,4,3,2,1,2
33,0,Travel_Rarely,922,2,1,5,Medical,612,1,Female,95,4,4,Research Director,3,Divorced,16184,4,0,19,3,3,1,10,2,3,6,1,0,5
31,0,Travel_Rarely,688,1,7,3,Life Sciences,613,3,Male,44,2,3,Manager,4,Divorced,11557,9,0,21,4,3,1,10,3,2,5,4,0,1
18,1,Travel_Frequently,1306,1,5,3,Marketing,614,2,Male,69,3,1,Sales Representative,2,Single,1878,1,1,14,3,4,0,0,3,3,0,0,0,0
40,0,Non-Travel,1094,1,28,3,Other,615,3,Male,58,1,3,Sales Executive,1,Divorced,10932,3,0,15,3,3,1,20,2,3,1,0,0,1
41,0,Non-Travel,509,2,2,4,Other,616,1,Female,62,2,2,Healthcare Representative,3,Single,6811,2,1,17,3,1,0,10,3,3,8,7,0,7
26,0,Travel_Rarely,775,1,29,2,Medical,618,1,Male,45,3,2,Sales Executive,3,Divorced,4306,5,0,12,3,1,2,8,5,3,0,0,0,0
35,0,Travel_Rarely,195,1,1,3,Medical,620,1,Female,80,3,2,Sales Executive,3,Single,4859,1,0,16,3,4,0,5,3,3,5,4,0,3
34,0,Travel_Rarely,258,1,21,4,Life Sciences,621,4,Male,74,4,2,Sales Executive,4,Single,5337,1,0,12,3,4,0,10,3,3,10,7,5,7
26,1,Travel_Rarely,471,2,24,3,Technical Degree,622,3,Male,66,1,1,Laboratory Technician,4,Single,2340,1,1,18,3,2,0,1,3,1,1,0,0,0
37,0,Travel_Rarely,799,2,1,3,Technical Degree,623,2,Female,59,3,3,Manufacturing Director,4,Single,7491,4,0,17,3,4,0,12,3,4,6,5,1,2
46,0,Travel_Frequently,1034,2,18,1,Medical,624,1,Female,86,3,3,Healthcare Representative,3,Married,10527,5,0,11,3,4,0,28,3,2,2,2,1,2
41,0,Travel_Rarely,1276,1,2,5,Life Sciences,625,2,Female,91,3,4,Manager,1,Married,16595,7,0,16,3,2,1,22,2,3,18,16,11,8
37,0,Non-Travel,142,1,9,4,Medical,626,1,Male,69,3,3,Sales Executive,2,Divorced,8834,1,0,13,3,4,1,9,6,3,9,5,7,7
52,0,Travel_Rarely,956,2,6,2,Technical Degree,630,4,Male,78,3,2,Research Scientist,1,Divorced,5577,3,1,12,3,2,2,18,3,3,10,9,6,9
32,1,Non-Travel,1474,1,11,4,Other,631,4,Male,60,4,2,Sales Executive,3,Married,4707,8,0,12,3,4,0,6,2,3,4,2,1,2
24,0,Travel_Frequently,535,1,24,3,Medical,632,4,Male,38,3,1,Sales Representative,4,Married,2400,0,0,13,3,3,2,3,3,3,2,2,2,1
38,0,Travel_Rarely,1495,2,10,3,Medical,634,3,Female,76,3,2,Healthcare Representative,3,Married,9824,3,0,19,3,3,1,18,4,3,1,0,0,0
37,0,Travel_Rarely,446,2,1,4,Life Sciences,635,2,Female,65,3,2,Manufacturing Director,2,Married,6447,6,0,12,3,2,1,8,2,2,6,5,4,3
49,0,Travel_Rarely,1245,2,18,4,Life Sciences,638,4,Male,58,2,5,Research Director,3,Divorced,19502,1,1,17,3,3,1,31,5,3,31,9,0,9
24,0,Travel_Rarely,691,2,23,3,Medical,639,2,Male,89,4,1,Research Scientist,4,Married,2725,1,1,11,3,2,2,6,3,3,6,5,1,4
26,0,Travel_Rarely,703,1,28,2,Marketing,641,1,Male,66,3,2,Sales Executive,2,Married,6272,1,0,20,4,4,2,6,5,4,5,3,1,4
24,0,Travel_Rarely,823,2,17,2,Other,643,4,Male,94,2,1,Laboratory Technician,2,Married,2127,1,0,21,4,4,1,1,2,3,1,0,0,0
50,0,Travel_Frequently,1246,3,3,3,Medical,644,1,Male,99,3,5,Manager,2,Married,18200,1,0,11,3,3,1,32,2,3,32,5,10,7
25,0,Travel_Rarely,622,1,13,1,Medical,645,2,Male,40,3,1,Sales Representative,3,Married,2096,1,0,11,3,3,0,7,1,3,7,4,0,6
24,1,Travel_Frequently,1287,2,7,3,Life Sciences,647,1,Female,55,3,1,Laboratory Technician,3,Married,2886,1,1,16,3,4,1,6,4,3,6,3,1,2
30,1,Travel_Frequently,448,1,12,4,Life Sciences,648,2,Male,74,2,1,Sales Representative,1,Married,2033,1,0,18,3,3,1,1,2,4,1,0,0,0
34,0,Travel_Rarely,254,2,1,2,Life Sciences,649,2,Male,83,2,1,Research Scientist,4,Married,3622,1,1,13,3,4,1,6,3,3,6,5,1,3
31,1,Travel_Rarely,1365,1,13,4,Medical,650,2,Male,46,3,2,Sales Executive,1,Divorced,4233,2,0,17,3,3,0,9,2,1,3,1,1,2
35,0,Travel_Rarely,538,2,25,2,Other,652,1,Male,54,2,2,Laboratory Technician,4,Single,3681,4,0,14,3,4,0,9,3,3,3,2,0,2
31,0,Travel_Rarely,525,1,6,4,Medical,653,1,Male,66,4,2,Sales Executive,4,Divorced,5460,4,0,22,4,4,2,13,4,4,7,7,5,7
27,0,Travel_Rarely,798,2,6,4,Medical,655,1,Female,66,2,1,Research Scientist,3,Divorced,2187,0,0,12,3,3,2,6,5,2,5,3,0,3
37,0,Travel_Rarely,558,1,2,3,Marketing,656,4,Male,75,3,2,Sales Executive,3,Married,9602,4,1,11,3,3,1,17,3,2,3,0,1,0
20,0,Travel_Rarely,959,2,1,3,Life Sciences,657,4,Female,83,2,1,Research Scientist,2,Single,2836,1,0,13,3,4,0,1,0,4,1,0,0,0
42,0,Travel_Rarely,622,2,2,4,Life Sciences,659,3,Female,81,3,2,Healthcare Representative,4,Married,4089,1,0,13,3,2,2,10,4,3,10,2,2,2
43,0,Travel_Rarely,782,2,6,4,Other,661,2,Male,50,2,4,Research Director,4,Divorced,16627,4,1,14,3,3,1,21,3,2,1,0,0,0
38,0,Travel_Rarely,362,2,1,1,Life Sciences,662,3,Female,43,3,1,Research Scientist,1,Single,2619,3,0,17,3,4,0,8,3,2,0,0,0,0
43,0,Travel_Frequently,1001,2,9,5,Medical,663,4,Male,72,3,2,Laboratory Technician,3,Divorced,5679,3,1,13,3,2,1,10,3,3,8,7,4,7
48,0,Travel_Rarely,1236,2,1,4,Life Sciences,664,4,Female,40,2,4,Manager,1,Married,15402,7,0,11,3,1,1,21,3,1,3,2,0,2
44,0,Travel_Rarely,1112,3,1,4,Life Sciences,665,1,Female,50,2,2,Human Resources,3,Single,5985,4,0,11,3,2,0,10,1,4,2,2,0,2
34,0,Travel_Rarely,204,1,14,3,Technical Degree,666,3,Female,31,3,1,Sales Representative,3,Divorced,2579,1,1,18,3,4,2,8,3,3,8,2,0,6
27,1,Travel_Rarely,1420,1,2,1,Marketing,667,3,Male,85,3,1,Sales Representative,1,Divorced,3041,0,0,11,3,2,1,5,3,3,4,3,0,2
21,0,Travel_Rarely,1343,1,22,1,Technical Degree,669,3,Male,49,3,1,Sales Representative,3,Single,3447,1,0,11,3,3,0,3,2,3,3,2,1,2
44,0,Travel_Rarely,1315,2,3,4,Other,671,4,Male,35,3,5,Manager,4,Married,19513,4,1,12,3,1,1,26,2,4,2,2,0,1
22,0,Travel_Rarely,604,2,6,1,Medical,675,1,Male,69,3,1,Research Scientist,3,Married,2773,0,0,20,4,4,0,3,3,3,2,2,2,2
33,0,Travel_Rarely,1216,1,8,4,Marketing,677,3,Male,39,3,2,Sales Executive,3,Divorced,7104,0,0,12,3,4,0,6,3,3,5,0,1,2
32,0,Travel_Rarely,646,2,9,4,Life Sciences,679,1,Female,92,3,2,Research Scientist,4,Married,6322,1,1,12,3,4,1,6,2,2,6,4,0,5
30,0,Travel_Frequently,160,2,3,3,Medical,680,3,Female,71,3,1,Research Scientist,3,Divorced,2083,1,0,20,4,3,1,1,2,3,1,0,0,0
53,0,Travel_Rarely,238,1,1,1,Medical,682,4,Female,34,3,2,Sales Executive,1,Single,8381,7,0,20,4,4,0,18,2,4,14,7,8,10
34,0,Travel_Rarely,1397,2,1,5,Life Sciences,683,2,Male,42,3,1,Research Scientist,4,Married,2691,1,0,12,3,4,1,10,4,2,10,9,8,8
45,1,Travel_Frequently,306,1,26,4,Life Sciences,684,1,Female,100,3,2,Sales Executive,1,Married,4286,2,0,14,3,4,2,5,4,3,1,1,0,0
26,0,Travel_Rarely,991,2,6,3,Life Sciences,686,3,Female,71,3,1,Laboratory Technician,4,Married,2659,1,1,13,3,3,1,3,2,3,3,2,0,2
37,0,Travel_Rarely,482,2,3,3,Other,689,3,Male,36,3,3,Manufacturing Director,3,Married,9434,1,0,15,3,3,1,10,2,3,10,7,7,8
29,0,Travel_Rarely,1176,1,3,2,Medical,690,2,Female,62,3,2,Sales Executive,3,Married,5561,1,0,14,3,1,1,6,5,2,6,0,1,2
35,0,Travel_Rarely,1017,2,6,4,Life Sciences,691,2,Male,82,1,2,Research Scientist,4,Single,6646,1,0,13,3,2,0,17,3,3,17,11,11,8
33,0,Travel_Frequently,1296,2,6,3,Life Sciences,692,3,Male,30,3,2,Healthcare Representative,4,Divorced,7725,3,0,23,4,3,1,15,2,1,13,11,4,7
54,0,Travel_Rarely,397,3,19,4,Medical,698,3,Male,88,3,3,Human Resources,2,Married,10725,2,0,15,3,3,1,16,1,4,9,7,7,1
36,0,Travel_Rarely,913,2,9,2,Medical,699,2,Male,48,2,2,Manufacturing Director,2,Divorced,8847,2,1,11,3,3,1,13,2,3,3,2,0,2
27,0,Travel_Rarely,1115,2,3,4,Medical,700,1,Male,54,2,1,Research Scientist,4,Single,2045,0,0,13,3,4,0,5,0,3,4,2,1,1
20,1,Travel_Rarely,1362,2,10,1,Medical,701,4,Male,32,3,1,Research Scientist,3,Single,1009,1,1,11,3,4,0,1,5,3,1,0,1,1
33,1,Travel_Frequently,1076,2,3,3,Life Sciences,702,1,Male,70,3,1,Research Scientist,1,Single,3348,1,1,11,3,1,0,10,3,3,10,8,9,7
35,0,Non-Travel,727,2,3,3,Life Sciences,704,3,Male,41,2,1,Laboratory Technician,3,Married,1281,1,0,18,3,3,2,1,3,3,1,0,0,0
23,0,Travel_Rarely,885,2,4,3,Medical,705,1,Male,58,4,1,Research Scientist,1,Married,2819,2,0,16,3,1,1,5,3,4,3,2,0,2
25,0,Travel_Rarely,810,1,8,3,Life Sciences,707,4,Male,57,4,2,Sales Executive,2,Married,4851,0,0,22,4,3,1,4,4,3,3,2,1,2
38,0,Travel_Rarely,243,1,7,4,Marketing,709,4,Female,46,2,2,Sales Executive,4,Single,4028,0,0,20,4,1,0,8,2,3,7,7,0,5
29,0,Travel_Frequently,806,2,1,4,Life Sciences,710,2,Male,76,1,1,Research Scientist,4,Divorced,2720,1,0,18,3,4,1,10,5,3,10,7,2,8
48,0,Travel_Rarely,817,1,2,1,Marketing,712,2,Male,56,4,2,Sales Executive,2,Married,8120,3,0,12,3,4,0,12,3,3,2,2,2,2
27,0,Travel_Frequently,1410,1,3,1,Medical,714,4,Female,71,4,2,Sales Executive,4,Divorced,4647,1,1,20,4,2,2,6,3,3,6,5,0,4
37,0,Travel_Rarely,1225,2,10,2,Life Sciences,715,4,Male,80,4,1,Research Scientist,4,Single,4680,3,0,17,3,1,0,4,2,3,1,0,0,0
50,0,Travel_Rarely,1207,2,28,1,Medical,716,4,Male,74,4,1,Laboratory Technician,3,Married,3221,1,1,11,3,3,3,20,3,3,20,8,3,8
34,0,Travel_Rarely,1442,2,9,3,Medical,717,4,Female,46,2,3,Healthcare Representative,2,Single,8621,1,0,14,3,2,0,9,3,4,8,7,7,7
24,1,Travel_Rarely,693,1,3,2,Life Sciences,720,1,Female,65,3,2,Sales Executive,3,Single,4577,9,0,14,3,1,0,4,3,3,2,2,2,0
39,0,Travel_Rarely,408,2,2,4,Technical Degree,721,4,Female,80,2,2,Healthcare Representative,3,Single,4553,1,0,11,3,1,0,20,4,3,20,7,11,10
32,0,Travel_Rarely,929,1,10,3,Marketing,722,4,Male,55,3,2,Sales Executive,4,Single,5396,1,0,12,3,4,0,10,2,2,10,7,0,8
50,1,Travel_Frequently,562,1,8,2,Technical Degree,723,2,Male,50,3,2,Sales Executive,3,Married,6796,3,1,14,3,1,1,18,4,3,4,3,1,3
38,0,Travel_Rarely,827,2,1,4,Life Sciences,724,2,Female,33,4,2,Healthcare Representative,4,Single,7625,0,0,13,3,3,0,10,4,2,9,7,1,8
27,0,Travel_Rarely,608,2,1,2,Life Sciences,725,3,Female,68,3,3,Manufacturing Director,1,Married,7412,1,0,11,3,4,0,9,3,3,9,7,0,7
32,0,Travel_Rarely,1018,2,3,2,Life Sciences,727,3,Female,39,3,3,Research Director,4,Single,11159,3,0,15,3,4,0,10,6,3,7,7,7,7
47,0,Travel_Rarely,703,1,14,4,Marketing,728,4,Male,42,3,2,Sales Executive,1,Single,4960,2,0,12,3,4,0,20,2,3,7,7,1,7
